"Id","SalePrice"
1461,122279.104142594
1462,167614.526909149
1463,178355.918088205
1464,205296.876059522
1465,202822.852807011
1466,187359.849709385
1467,204027.156986446
1468,175763.387631592
1469,214175.370477187
1470,116335.423283443
1471,210176.693237792
1472,108379.002242618
1473,85212.5757239738
1474,156624.226510812
1475,121886.675626211
1476,319747.185088631
1477,245877.276685303
1478,280453.102379615
1479,270429.043039411
1480,385383.919346247
1481,297203.491425773
1482,216480.623883921
1483,181385.785085412
1484,179116.914011299
1485,202214.414965788
1486,214208.702399624
1487,290908.367635611
1488,257799.468605535
1489,190052.980992756
1490,236145.21594147
1491,213675.602581293
1492,95327.2265065863
1493,203599.680505281
1494,275217.760440403
1495,281821.80401633
1496,227869.263291496
1497,175808.795172455
1498,157700.2114794
1499,166789.038446931
1500,151228.572864441
1501,170754.296052711
1502,149808.098527619
1503,279445.016892321
1504,254699.2779937
1505,231585.206867067
1506,209378.059742278
1507,257966.080156041
1508,210035.949769189
1509,162958.92315308
1510,147773.246884469
1511,150492.71147523
1512,188514.422199542
1513,174190.587445331
1514,150971.901953925
1515,220847.17274509
1516,166491.813501796
1517,174574.741125774
1518,129328.850227341
1519,237381.003823771
1520,127969.605924755
1521,126550.303403445
1522,197395.11305182
1523,87605.0501298794
1524,114939.400554902
1525,106393.240298685
1526,96242.1285028835
1527,90073.907891434
1528,158106.6616708
1529,132289.823856594
1530,233750.159156239
1531,131956.237486862
1532,104374.212169456
1533,143990.090250848
1534,133741.547150416
1535,159614.949365517
1536,104294.880767978
1537,32259.3282806548
1538,191185.955772724
1539,231270.773097287
1540,110373.82422224
1541,159859.725921735
1542,147273.841632504
1543,205580.897150801
1544,77895.2064669021
1545,136287.090060747
1546,137979.651850745
1547,138269.285706987
1548,145648.262962234
1549,124536.348711933
1550,129972.776838779
1551,137818.254852779
1552,133935.215295823
1553,156823.332101748
1554,127377.101747245
1555,174153.538223259
1556,82859.7137449804
1557,87499.6621843252
1558,97729.5214651363
1559,66038.7565665094
1560,135565.16568052
1561,123672.242359245
1562,115059.519810503
1563,121201.95432973
1564,157700.110027789
1565,136357.274466031
1566,254087.105616401
1567,64806.2483066015
1568,224314.928907909
1569,93698.2391906097
1570,142388.954173536
1571,106188.103739148
1572,146118.930000211
1573,252947.56953773
1574,124903.137427318
1575,246794.112348083
1576,250644.894701726
1577,200635.770519648
1578,150285.093612282
1579,138231.495539946
1580,215283.427597386
1581,139815.817877701
1582,124561.008854257
1583,309250.154887896
1584,236614.98415103
1585,154852.908116056
1586,49107.0048017577
1587,100809.35126059
1588,150905.222131875
1589,104512.330480996
1590,139617.184442834
1591,64684.9214078764
1592,128484.151962477
1593,141662.062573663
1594,124716.00989117
1595,112896.735957013
1596,215613.342319132
1597,168239.757325818
1598,209735.194163889
1599,203848.449164306
1600,191638.525094724
1601,26716.4170588185
1602,127220.97678047
1603,60564.4845989556
1604,258040.432446886
1605,269884.652371554
1606,181194.00704604
1607,181512.902695336
1608,224840.787223859
1609,200559.340048733
1610,156689.599885863
1611,163231.99116908
1612,170339.364540873
1613,175378.475803208
1614,129557.750629432
1615,63144.1148562443
1616,43194.7253783112
1617,66911.4383427762
1618,112762.80594778
1619,147561.952317745
1620,186862.285732546
1621,137097.910875886
1622,131665.314522294
1623,267535.837872579
1624,219434.143142377
1625,125407.861056534
1626,188003.209091545
1627,200921.422301476
1628,281842.976177307
1629,199466.811131613
1630,335956.683977364
1631,223805.790586076
1632,244347.141993344
1633,192095.372353987
1634,199740.900964206
1635,190989.034188775
1636,165500.795827366
1637,199285.723807472
1638,221270.356151358
1639,208815.487236198
1640,272787.629310494
1641,204228.704866822
1642,233489.764732454
1643,235831.540438845
1644,238954.593889772
1645,233422.957007202
1646,176363.620525444
1647,179912.560837441
1648,139697.780167331
1649,133913.261449605
1650,112907.171835261
1651,108929.317856613
1652,111750.855041603
1653,111520.606932934
1654,157894.134840012
1655,148778.791273365
1656,147322.817693817
1657,158980.600972239
1658,150429.429913992
1659,137406.408093631
1660,141849.96377368
1661,366603.51098416
1662,339129.541792688
1663,322826.953344428
1664,424174.068071377
1665,286276.987408327
1666,294611.012691833
1667,315637.115775966
1668,307314.024995533
1669,293985.785744893
1670,309300.942613471
1671,262824.303459255
1672,375613.681341174
1673,288926.389737784
1674,250915.55109489
1675,189930.720794062
1676,199647.161383581
1677,219425.869801881
1678,395635.869878196
1679,324050.548608731
1680,287173.983289185
1681,242028.601622021
1682,290719.106530437
1683,198152.257290325
1684,204755.729947993
1685,180918.573611792
1686,181453.655932255
1687,183297.108427687
1688,208701.154707435
1689,212147.918989529
1690,218606.146178598
1691,205621.755141955
1692,264566.069800646
1693,184278.657813824
1694,195404.267204738
1695,185808.921531531
1696,275996.96424558
1697,190018.805993402
1698,330316.74231027
1699,279310.86289612
1700,250917.036856102
1701,278711.585345978
1702,257022.379074207
1703,257908.097168843
1704,279635.681905433
1705,240347.203873503
1706,380738.207842968
1707,202561.748209818
1708,211262.800149292
1709,271002.827250573
1710,233575.407594919
1711,270723.793234649
1712,258942.848444008
1713,270093.58375983
1714,226882.247029915
1715,210003.418222012
1716,189669.908899382
1717,193348.338057936
1718,134258.556273139
1719,220848.933532836
1720,239841.145666579
1721,185730.739422592
1722,121024.144636249
1723,164184.738332839
1724,224431.109877045
1725,238475.014749462
1726,188803.679002884
1727,158864.838860082
1728,194594.865665144
1729,170284.404552935
1730,169663.962132005
1731,110943.902861363
1732,121242.435085214
1733,114376.382098642
1734,116263.815856034
1735,131622.448043706
1736,99026.1282832615
1737,326237.608265747
1738,241762.909912916
1739,282344.183872377
1740,198168.12540947
1741,189108.776955703
1742,165960.696100213
1743,180897.614420871
1744,289222.338646424
1745,230686.44843121
1746,228093.877158638
1747,236926.859387309
1748,229585.301197693
1749,159137.160040424
1750,152642.067066269
1751,256614.579457048
1752,114064.264351983
1753,161836.051963535
1754,230852.82720822
1755,161639.435003082
1756,122916.419511714
1757,102085.174377872
1758,145894.035141027
1759,183686.477713344
1760,165331.132000489
1761,166125.262643629
1762,173873.36016731
1763,176060.660572458
1764,111687.009435971
1765,204673.176091531
1766,212214.129140319
1767,249673.270577888
1768,143904.715679445
1769,183646.890021713
1770,163059.072806871
1771,116879.699681303
1772,129473.527830827
1773,106917.833554403
1774,140391.083957257
1775,144795.148925282
1776,137611.07922025
1777,103309.843715681
1778,145132.476049875
1779,124049.000731654
1780,197278.719724508
1781,123205.538115457
1782,52009.4131644109
1783,133839.605558364
1784,89011.7892695403
1785,109271.982544917
1786,113246.86837205
1787,167591.631616501
1788,9834.08146783126
1789,97323.6567903822
1790,41720.4018615758
1791,204681.767169403
1792,171563.219715307
1793,155838.126025261
1794,179122.380869841
1795,132181.488774215
1796,133636.353212697
1797,141320.141575971
1798,108592.993350122
1799,105825.990893953
1800,111220.405499748
1801,105292.916751472
1802,144891.145969494
1803,164896.108154576
1804,135110.8695559
1805,150533.186910864
1806,143243.63532104
1807,176252.970945041
1808,122810.630604524
1809,114260.700626527
1810,149278.820771127
1811,57595.5661541344
1812,92297.8538129421
1813,121583.515704873
1814,80788.3439323242
1815,15588.8451386735
1816,92318.3124631719
1817,97685.7093608402
1818,164621.487809773
1819,128847.57466133
1820,40093.7617927553
1821,107478.461096147
1822,156585.040579627
1823,13756.0359453283
1824,143244.359307235
1825,140746.181192389
1826,88745.9680023242
1827,103475.957719647
1828,136648.579530037
1829,152458.456947456
1830,165219.522679655
1831,194518.033710515
1832,109024.111269855
1833,162852.378995473
1834,132854.870072333
1835,120043.374077132
1836,132011.739765953
1837,87613.1755325538
1838,120846.115450864
1839,82202.3385223423
1840,151621.012220319
1841,139884.562259737
1842,83696.6659007471
1843,124281.610315609
1844,130197.389342654
1845,133018.774678486
1846,151675.684290084
1847,161715.019659177
1848,-1455.43128920569
1849,124459.158548124
1850,122778.483047477
1851,153811.669693483
1852,126979.438606844
1853,119924.594237972
1854,187874.000568912
1855,156615.895362574
1856,245951.300933428
1857,143329.180393646
1858,133547.329030275
1859,120071.022833708
1860,154668.441572984
1861,118911.058653836
1862,287683.109547393
1863,286085.412018419
1864,286100.507730516
1865,320358.443896309
1866,308166.302960354
1867,242282.194031879
1868,285760.452658837
1869,229206.762816232
1870,249078.143636178
1871,248149.051470099
1872,178214.28451648
1873,236554.066966655
1874,145793.335097521
1875,216166.439294411
1876,211843.038031414
1877,227407.178929188
1878,217096.672092107
1879,112403.820255623
1880,146427.174669165
1881,251628.219087279
1882,254240.18455656
1883,200506.710631826
1884,216145.35976215
1885,258376.850401062
